"year","last_name, first_name","player_id","pitch_hand","api_pitch_type","n_pitches","release_speed","spin_rate","movement_inches","alan_active_spin_pct","active_spin","hawkeye_measured","movement_inferred","api_pitch_name","active_spin_formatted","hawkeye_measured_clock_minutes","movement_inferred_clock_minutes","diff_measured_inferred","diff2","diff_measured_inferred_minutes","hawkeye_measured_clock_hh","hawkeye_measured_clock_mm","movement_inferred_clock_hh","movement_inferred_clock_mm","diff_clock_hh","diff_clock_mm","hawkeye_measured_clock_label","movement_inferred_clock_label","diff_clock_label"
,"Herz, DJ",687792,"L","FF",852,"93.5",2325,"20",0.9451407354167137,0.9884415387594654,139.19744511610725,139.72032702645714,"4-Seam Fastball",99,75,75,-0.522881910349895,0.5228819103498792,0,1,15,1,15,0,0,"1:15","1:15"," 0H 00M"
,"Hall, DL",669084,"L","FF",353,"93.3",2133,"15.2",0.737583577553558,0.838780674989645,143.89853994614347,153.5012065016962,"4-Seam Fastball",84,75,60,-9.60266655555273,9.602666555552723,15,1,15,1,0,0,15,"1:15","1:00","+0H 15M"
,"Puk, A.J.",640462,"L","FF",492,"95.5",2267,"17.7",0.8424179758092452,0.9054920161919553,130.8186902410573,141.09981507171636,"4-Seam Fastball",91,105,75,-10.281124830659053,10.281124830659065,30,1,45,1,15,0,30,"1:45","1:15","+0H 30M"
,"Sears, JP",676664,"L","FF",1033,"91.9",2086,"18.6",0.8918710729102681,0.9598435064610116,133.26646638713157,138.97383351218375,"4-Seam Fastball",96,90,75,-5.707367125052173,5.70736712505218,15,1,30,1,15,0,15,"1:30","1:15","+0H 15M"
,"Ryan, Joe",657746,"R","FF",978,"94",2276,"18",0.8521215441759873,0.9579380144113308,225.23248153630453,223.23253624808498,"4-Seam Fastball",96,630,630,1.9999452882195499,1.999945288219565,0,10,30,10,30,0,0,"10:30","10:30"," 0H 00M"
,"Gray, Jon",592351,"R","FF",719,"94.9",2029,"16.8",0.8477687089889009,0.9532780904427846,218.53085484516228,220.19364957419648,"4-Seam Fastball",95,645,645,-1.6627947290342036,1.662794729034206,0,10,45,10,45,0,0,"10:45","10:45"," 0H 00M"
,"Gil, Luis",661563,"R","FF",1284,"96.6",2438,"17.8",0.8160658626165014,0.8422223450144708,202.66801771525354,199.03858856252023,"4-Seam Fastball",84,675,675,3.6294291527333087,3.6294291527333,0,11,15,11,15,0,0,"11:15","11:15"," 0H 00M"
,"Blach, Ty",621389,"L","FF",384,"89.1",2022,"14.5",0.8502066708415267,0.9909814941507537,113.39506327431197,109.92195557992436,"4-Seam Fastball",99,135,135,3.4731076943876076,3.473107694387599,0,2,15,2,15,0,0,"2:15","2:15"," 0H 00M"
,"Brown, Ben",676962,"R","FF",530,"96.4",2222,"18.3",0.8773976405659757,0.9568751523847405,212.97618567279392,210.09167660333983,"4-Seam Fastball",96,660,660,2.884509069454083,2.8845090694540643,0,11,0,11,0,0,0,"11:00","11:00"," 0H 00M"
,"Woo, Bryan",693433,"R","FF",840,"94.8",2280,"17.7",0.825230135865457,0.908948404247443,221.85387912840733,214.10965014853883,"4-Seam Fastball",91,630,645,7.744228979868495,7.744228979868494,-15,10,30,10,45,0,15,"10:30","10:45","-0H 15M"
,"Rea, Colin",607067,"R","FF",509,"92.9",2173,"14.8",0.7167151362741535,0.8269423826706116,211.86684423942987,207.00852814182502,"4-Seam Fastball",83,660,660,4.858316097604842,4.858316097604824,0,11,0,11,0,0,0,"11:00","11:00"," 0H 00M"
