"year","last_name, first_name","player_id","pitch_hand","api_pitch_type","n_pitches","release_speed","spin_rate","movement_inches","alan_active_spin_pct","active_spin","hawkeye_measured","movement_inferred","api_pitch_name","active_spin_formatted","hawkeye_measured_clock_minutes","movement_inferred_clock_minutes","diff_measured_inferred","diff2","diff_measured_inferred_minutes","hawkeye_measured_clock_hh","hawkeye_measured_clock_mm","movement_inferred_clock_hh","movement_inferred_clock_mm","diff_clock_hh","diff_clock_mm","hawkeye_measured_clock_label","movement_inferred_clock_label","diff_clock_label"
,"Fry, Jace",605240,"L","CH",16,"87.6",1909,"17.1",0.8568537630970836,0.8454161141277522,138.90488307217365,109.2727211891511,"Changeup",85,75,135,29.632161883022547,29.632161883022547,-60,1,15,2,15,1,0,"1:15","2:15","-1H 00M"
,"Gil, Luis",661563,"R","CH",39,"92.3",1824,"17.9",0.9243242722566639,0.9514137185381618,228.52620403493734,247.01763060261513,"Changeup",95,630,585,-18.49142656767779,18.491426567677777,45,10,30,9,45,0,45,"10:30","9:45","+0H 45M"
,"Gray, Jon",592351,"R","CH",194,"87.6",1453,"14.2",0.8845001980499659,0.9791749397789633,241.97801997363172,241.88890114579533,"Changeup",98,600,600,0.08911882783638703,0.08911882783636775,0,10,0,10,0,0,0,"10:00","10:00"," 0H 00M"
,"Krol, Ian",571871,"L","CH",47,"85.1",1800,"16.4",0.8380088883373258,0.9612675311027771,121.02988447578582,108.20676320007806,"Changeup",96,120,150,12.823121275707763,12.823121275707761,-30,2,0,2,30,0,30,"2:00","2:30","-0H 30M"
,"Long, Sam",669674,"L","CH",147,"80.4",1893,"17",0.8048359504908069,0.9355625614182634,127.05225546606934,139.64359678428363,"Changeup",94,105,75,-12.59134131821429,12.591341318214283,30,1,45,1,15,0,30,"1:45","1:15","+0H 30M"
,"Puk, A.J.",640462,"L","CH",10,"90.3",1738,"18.7",0.9598600232128758,0.9925845925689813,121.05047283305663,108.43976249326661,"Changeup",99,120,150,12.610710339790018,12.610710339789991,-30,2,0,2,30,0,30,"2:00","2:30","-0H 30M"
,"Ramos, AJ",573109,"R","CH",18,"82.9",1394,"17.7",0.9819412641096023,0.9276140660167289,252.3162598305608,269.2857785377751,"Changeup",93,570,540,-16.96951870721432,16.969518707214284,30,9,30,9,0,0,30,"9:30","9:00","+0H 30M"
,"Ross, Joe",605452,"R","CH",99,"88.5",1695,"16.3",0.8619703271406214,0.927190672895104,229.60814446775294,242.67031257386802,"Changeup",93,615,600,-13.062168106115081,13.062168106115086,15,10,15,10,0,0,15,"10:15","10:00","+0H 15M"
,"Ryan, Joe",657746,"R","CH",43,"83.3",2071,"20.1",0.9530337493178335,0.9968883232691345,244.1831013694577,249.37530880616674,"Changeup",100,585,585,-5.1922074367090545,5.192207436709071,0,9,45,9,45,0,0,"9:45","9:45"," 0H 00M"
,"Baz, Shane",669358,"R","CH",11,"88.7",1981,"20.2",0.9751579997021532,0.9727561546598491,237.1038145152611,247.96686199095984,"Changeup",97,600,585,-10.86304747569875,10.863047475698716,15,10,0,9,45,0,15,"10:00","9:45","+0H 15M"
,"Cody, Kyle",621129,"R","CH",30,"85.6",1896,"17.9",0.8723906740024884,0.9906196194773719,223.9195207389305,233.87417306677733,"Changeup",99,630,615,-9.954652327846844,9.95465232784686,15,10,30,10,15,0,15,"10:30","10:15","+0H 15M"
,"Crowe, Wil",640444,"R","CH",391,"85",1714,"11.2",0.5844188186802475,0.5839094064098828,223.7907591182223,249.81134639150628,"Changeup",58,630,585,-26.02058727328398,26.020587273283986,45,10,30,9,45,0,45,"10:30","9:45","+0H 45M"
,"Fried, Max",608331,"L","CH",51,"84.7",1415,"13.6",0.7904590221795734,0.8570244707292622,134.72356882945593,110.30213143794164,"Changeup",86,90,135,24.42143739151429,24.42143739151427,-45,1,30,2,15,0,45,"1:30","2:15","-0H 45M"
,"Gant, John",607231,"R","CH",441,"80.1",1482,"14.5",0.7839988021163439,0.9644619957764963,241.71279907018067,249.4710459142651,"Changeup",96,600,585,-7.758246844084425,7.758246844084416,15,10,0,9,45,0,15,"10:00","9:45","+0H 15M"
,"Happ, J.A.",457918,"L","CH",317,"86.1",1652,"16.8",0.9014368815260744,0.9620836974618521,130.12231524465227,116.71482891050721,"Changeup",96,105,120,13.407486334145062,13.40748633414507,-15,1,45,2,0,0,15,"1:45","2:00","-0H 15M"
,"Hill, Rich",448179,"L","CH",74,"80.9",1672,"17.4",0.8868914613959573,0.9473903973632117,131.5306715419681,123.47376497156982,"Changeup",95,90,120,8.056906570398283,8.056906570398302,-30,1,30,2,0,0,30,"1:30","2:00","-0H 30M"
,"Kelly, Joe",523260,"R","CH",115,"86.9",2001,"19.1",0.9391130500445983,0.9834171825782397,255.7526582419308,256.8020186154373,"Changeup",98,570,570,-1.0493603735065165,1.0493603735064807,0,9,30,9,30,0,0,"9:30","9:30"," 0H 00M"
,"King, John",667463,"L","CH",135,"78.7",1563,"15.3",0.795033369866915,0.9487312445799297,107.43580827209063,109.48404783147247,"Changeup",95,150,135,-2.048239559381841,2.0482395593818445,15,2,30,2,15,0,15,"2:30","2:15","+0H 15M"
,"Kuhl, Chad",641771,"R","CH",58,"88.3",1571,"15.6",0.8548836070472667,0.955304087616891,237.5888338020901,255.34910525093727,"Changeup",96,600,570,-17.760271448847163,17.76027144884715,30,10,0,9,30,0,30,"10:00","9:30","+0H 30M"
,"Law, Derek",571882,"R","CH",11,"86.1",1862,"18.4",0.912442194828596,0.9857640244740219,236.02538645000814,243.58560752446346,"Changeup",99,615,600,-7.560221074455313,7.560221074455284,15,10,15,10,0,0,15,"10:15","10:00","+0H 15M"
,"Lugo, Seth",607625,"R","CH",23,"86.8",1678,"16.5",0.8641349845092376,0.9510629500950476,229.138700903239,246.99751913996943,"Changeup",95,615,585,-17.85881823673043,17.858818236730457,30,10,15,9,45,0,30,"10:15","9:45","+0H 30M"
,"Smith, Joe",501925,"R","CH",14,"77.4",1600,"18.4",0.9215623547238272,0.9735627403929047,296.04853133408017,299.4381304430683,"Changeup",97,495,480,-3.3895991089881363,3.389599108988156,15,8,15,8,0,0,15,"8:15","8:00","+0H 15M"
,"Vest, Will",676684,"R","CH",120,"84.5",1539,"16.2",0.8567196530476606,0.9926592169074809,251.43179276633262,261.2980089648793,"Changeup",99,570,555,-9.866216198546653,9.866216198546656,15,9,30,9,15,0,15,"9:30","9:15","+0H 15M"
,"Wood, Alex",622072,"L","CH",448,"85.3",1632,"15.2",0.8075345192532818,0.9444933005045532,90.20192226165818,88.7457867647076,"Changeup",94,180,180,1.45613549695058,1.4561354969505835,0,3,0,3,0,0,0,"3:00","3:00"," 0H 00M"
,"Adam, Jason",592094,"R","CH",15,"87.5",1596,"16.5",0.8638170803011606,0.8987830083159587,232.4452952289312,262.66779921030775,"Changeup",90,615,555,-30.222503981376548,30.222503981376533,60,10,15,9,15,1,0,"10:15","9:15","+1H 00M"
,"Alexy, A.J.",669935,"R","CH",77,"85.8",1487,"13.7",0.7588832138652046,0.9214604646470278,217.65983577381425,217.23377396616263,"Changeup",92,645,645,0.42606180765162094,0.4260618076516261,0,10,45,10,45,0,0,"10:45","10:45"," 0H 00M"
,"Bowden, Ben",641386,"L","CH",119,"82.4",1995,"17.5",0.900297515341237,0.9880597517035951,126.77773909538638,125.24735756540503,"Changeup",99,105,105,1.530381529981355,1.5303815299813568,0,1,45,1,45,0,0,"1:45","1:45"," 0H 00M"
,"Brach, Brad",542960,"R","CH",202,"86.1",1907,"16.4",0.8202714495974491,0.7914550979593812,243.46792338149893,273.6458694082538,"Changeup",79,600,540,-30.17794602675488,30.17794602675486,60,10,0,9,0,1,0,"10:00","9:00","+1H 00M"
