"year","last_name, first_name","player_id","pitch_hand","api_pitch_type","n_pitches","release_speed","spin_rate","movement_inches","alan_active_spin_pct","active_spin","hawkeye_measured","movement_inferred","api_pitch_name","active_spin_formatted","hawkeye_measured_clock_minutes","movement_inferred_clock_minutes","diff_measured_inferred","diff2","diff_measured_inferred_minutes","hawkeye_measured_clock_hh","hawkeye_measured_clock_mm","movement_inferred_clock_hh","movement_inferred_clock_mm","diff_clock_hh","diff_clock_mm","hawkeye_measured_clock_label","movement_inferred_clock_label","diff_clock_label"
,"Woods Richardson, Simeon",680573,"R","CH",11,"80.4",2099,"19.5",0.8784656523916659,0.9280918921573256,224.18922869194972,218.26216656179014,"Changeup",93,630,645,5.927062130159584,5.927062130159597,-15,10,30,10,45,0,15,"10:30","10:45","-0H 15M"
,"Fry, Paul",643316,"L","CH",39,"91.3",2188,"14.3",0.6688248286366464,0.6843667651986979,141.0747878145616,103.43109622524636,"Changeup",68,75,150,37.64369158931524,37.643691589315225,-75,1,15,2,30,1,15,"1:15","2:30","-1H 15M"
,"Gray, Jon",592351,"R","CH",192,"88.7",1455,"17",0.9610396823164549,0.9911810154284302,238.71231012182892,242.5885071348522,"Changeup",99,600,600,-3.8761970130232726,3.8761970130232895,0,10,0,10,0,0,0,"10:00","10:00"," 0H 00M"
,"Lee, Evan",681885,"L","CH",10,"82.4",1942,"15.4",0.7316102210809577,0.8465364354499832,144.05687613871999,156.23654379921237,"Changeup",85,75,765,-12.179667660492385,12.17966766049239,30,1,15,12,45,0,30,"1:15","12:45","+0H 30M"
,"Long, Sam",669674,"L","CH",192,"84.2",1930,"17.9",0.8515156027694691,0.9491515474531678,126.71734480221572,140.20192470267807,"Changeup",95,105,75,-13.48457990046235,13.484579900462345,30,1,45,1,15,0,30,"1:45","1:15","+0H 30M"
,"Puk, A.J.",640462,"L","CH",10,"87.9",2038,"5.1",0.2797729682162776,0.28044697213892317,193.4048585555963,251.36415963239992,"Changeup",28,690,570,-57.95930107680363,57.95930107680364,120,11,30,9,30,2,0,"11:30","9:30","+2H 00M"
,"Ryan, Joe",657746,"R","CH",240,"84.7",2076,"19.8",0.9402588188381455,0.9941324631717218,242.30908202611874,246.95814016974123,"Changeup",99,600,585,-4.649058143622483,4.6490581436224545,15,10,0,9,45,0,15,"10:00","9:45","+0H 15M"
,"Sears, JP",676664,"L","CH",188,"82.7",1878,"19.1",0.9248436969746678,0.9945597622252571,101.94475274327921,94.443385821891,"Changeup",99,150,165,7.501366921388211,7.501366921388217,-15,2,30,2,45,0,15,"2:30","2:45","-0H 15M"
,"Adon, Joan",672851,"R","CH",80,"87.4",1886,"18",0.8815585757108273,0.8974602811142756,229.6997856233844,249.87211081506211,"Changeup",90,615,585,-20.172325191677714,20.172325191677707,30,10,15,9,45,0,30,"10:15","9:45","+0H 30M"
,"Bard, Luke",572703,"R","CH",11,"85.8",1795,"18.8",0.94340293047264,0.9885728740319693,249.7651129126511,262.87458477013774,"Changeup",99,585,555,-13.109471857486653,13.10947185748667,30,9,45,9,15,0,30,"9:45","9:15","+0H 30M"
