Name,Team,IP,Pit+ FA,Pit+ SI,Pit+ FC,Pit+ FS,Pit+ SL,Pit+ CU,Pit+ CH,Pit+ KC,Pit+ FO,Stuff+,Location+,Pitching+,ERA,Name,Team,Season,Age,K/9,WHIP,BABIP,FIP,K%,NameASCII,PlayerId,MLBAMID
"Edwin Díaz","NYM",62,104.47095115681235,,,,118.22653061224489,,,,,143.34577006507587,100.3119305856833,112.35466377440345,1.3064517736683228,"Edwin Díaz","NYM",2022,28,17.129034365873565,0.8387097806265776,0.32978723404255317,0.9027533103970327,0.50212766,"Edwin Diaz",14710,621242
"Jacob deGrom","- - -",94.2,111.85124816446404,,,,124.33432835820895,121.0859649122807,100.53418803418803,,,142.93702372393963,106.70647016534866,116.0879223580158,2.94718329652486,"Jacob deGrom","- - -",2022,35,13.975353051263047,0.7500000503701257,0.2608695652173913,1.9433374408187711,0.41525424,"Jacob deGrom",10954,594798
"Félix Bautista","BAL",126.2,110.54305448963927,,,119.11538461538461,99.77633136094673,,,,,142.96742645561974,94.83668848188165,111.8291596588223,1.8473686250491381,"Félix Bautista","BAL",2022,28,14.068422606143436,0.9236843125245691,0.24890829694323144,2.415319111135795,0.40408163,"Felix Bautista",20666,642585
"Pete Fairbanks","TBR",69.1,118.48808290155439,,,,104.79200000000002,,49.78,,,141.88452202041316,101.97798594797322,111.57603516453712,2.0769232864210805,"Pete Fairbanks","TBR",2022,29,13.759616772539657,0.8942308594312984,0.26119402985074625,2.066252388873104,0.39114391,"Pete Fairbanks",17998,664126
"Devin Williams","MIL",119.1,102.9861578266494,,103.05675675675677,,,,115.39871685201024,,,126.54562346058468,100.05207698226515,109.61971821120461,1.7346370008933105,"Devin Williams","MIL",2022,28,13.801677007107644,0.9636872227185058,0.2318181818181818,2.3277919651788896,0.38853503,"Devin Williams",15816,642207
"Ryan Helsley","STL",101.1,108.57660292463443,,,,119.68169811320756,103.60622194163862,107.25,,,144.41678361928132,99.82027507551739,111.92105932971643,1.6875002752793913,"Ryan Helsley","STL",2022,28,12.967107378462691,0.8585527716333744,0.22164948453608246,2.3054802997688757,0.37922078,"Ryan Helsley",18138,664854
"Angel Perdomo","PIT",29,101.44719471947192,,,,103.67207792207793,,98.58823529411765,,,97.8981595092024,98.9740286298569,101.89447852760733,3.7241389107905185,"Angel Perdomo","PIT",2023,29,13.655176006231901,1.1034485661601536,0.32142857142857145,3.013660985649537,0.37606838,"Angel Perdomo",17759,622780
"José Alvarado","PHI",92.1,82.13333333333334,98.66353711790394,106.75877192982456,,,109.43636363636365,,,,115.3099197681675,97.98029398974947,102.00158696041852,2.5342963778907386,"José Alvarado","PHI",2022,28,14.133575953621428,1.191335904136672,0.32642487046632124,2.136559242099432,0.37564767,"Jose Alvarado",17780,621237
"Spencer Strider","ATL",318.1,114.53365155131264,,,,107.75830869308103,,99.05568862275446,,,131.52763443329448,103.27543129629922,111.40514066194781,3.3643980804650075,"Spencer Strider","ATL",2022,23,13.655498091299147,1.0523560755889612,0.3057228915662651,2.4295631505330793,0.37412858,"Spencer Strider",27498,675911
"Josh Hader","- - -",106.1,,107.14061263859756,,,102.79644034497686,,95.49821428571428,,,113.31475578657324,93.74134153136603,105.6948171929735,3.131661676064679,"Josh Hader","- - -",2022,28,14.050157789911804,1.1849530666190677,0.29767441860465116,3.0469168252867096,0.36888889,"Josh Hader",14212,623352
"Brock Stewart","MIN",27.2,108.92456140350879,99.57446808510639,96.83333333333336,,126.13297872340425,,91.65135135135135,,,119.15875831485587,101.25277161862529,107.37139689578714,0.650602559147699,"Brock Stewart","MIN",2023,31,12.68674990338013,1.0843375985794983,0.3157894736842105,2.206847347536889,0.35779817,"Brock Stewart",16727,592779
